"설문지 
번호",구분,DQ1_전문과,DQ1_기타내용,DQ1_1_신경과세부,DQ2_전문의취득연도,DQ3_직역,DQ3_기타내용,DQ3_1_전공의_연차,DQ3_2_전공의_근무총인원,DQ3_3_은퇴자_은퇴연령,DQ3_4_은퇴자_은퇴전직역,DQ4_근무기관,DQ4_기타내용,DQ5_근무지역,DQ6_성별,DQ7_출생연도,A1_1_근무시간_평일 ,A1_2_근무시간_토요일,A1_3_근무시간_일요일,A2_근무시간_일주평균,A3_1_총휴무일_토요일,A3_2_총휴무일_일요일,A3_3_총휴무일_공휴일,A3_4_총휴무일_휴가,A3_5_총휴무일_출장,A3_6_총휴무일_기타,A3_7_총휴무일_기타내용,A4_일반비교업무량,A4_1_업무량감축비율,A5_워라밸주당근무시간,A6_야간당직여부,A6_1_당직응급실call횟수,A7_oncall당직여부,A7_1_1_oncall당직주기,A7_1_2_oncall당직횟수,A7_1_3_실제call수 ,A8_응급실전담의여부,A9_응급실call여부,A9_1_1_응급실평균진료시간,A9_1_2_응급call받는날,A9_1_3_응급실call수,B1_1_근무비중_진료,B1_2_근무비중_진료외,B2_1_진료비율_급여,B2_2_진료비율_비급여,B3_1_1_외래_세션당환자수,B3_1_2_외래_평균진료세션 ,B3_2_1_입원_신규환자수,B3_2_2_입원_재원환자수,B3_3_1_수술_환자수,B3_3_2_수술_일수,C1_진료시간변화여부,C1_1_증가또는감소시간,C2_환자수변화,C3_진료시간변화계획,C3_1_기타내용,C4_일반의또는타과진료정도,C5_전공과주로진료,C5_1_1_비전공과_진료비중,C5_1_2_비전공과_진료과목,C5_1_2_비전공과_진료이유,C5_2_1_전공과회귀조건,C5_2_2_기타내용,C6_환자당진료시간변화,C7_1_실제진료시간_초진,C7_2_실제지료시간_재진,C8_1_이상적진료시간_초진,C8_2_이상적진료시간_재진,D1_현재전문의수,D2_현재전공의정원,D3_의료수요변화,D3_1_1_수요변화체감원인,D3_1_2_기타내용 ,E1_정책시행후_근무시간변화,E2_연봉변화,E3_지도전문의여부,E3_1_전공의법_근무변화,E3_2_전공의없을시_업무량,E3_3_전공의1인_역할비율,E4_당직및입원전담_근무의향,E5_은퇴예상연령,E6_육아휴직계획,
11,오프라인,3,,,2003,1,,,,,,1,,1,1,1973,8,3,0,42,14,52,17,10,5,,,3,50,30,1,,1,,,,2,1,,,,90,10,90,10,9,10,0,0,0,0,1,,1,3,,4,1,,,,,,2,50,25,50,30,3,3,2,4,,1,1,2,,,,4,50,4,
12,오프라인,3,,,2018,2,,,,,,2,,9,1,1983,8,5,0,40,34,52,17,6,0,0,,3,20,8,1,,1,1,7,3,2,1,,,,100,0,100,0,20,2,5,50,0,0,1,,1,2,,4,1,,,,,,1,30,5,30,10,5,3,2,4,,1,3,2,,,,4,60,1,
13,오프라인,3,,,1999,1,,,,,,1,,1,1,1967,8,3,0,36,27,52,17,5,0,0,,1,,32,1,,1,,,,2,1,,,,90,10,100,0,8,9,,,,,3,9,2,1,,4,1,,,,,,2,30,15,40,15,3,1,2,"2,4",,1,2,2,,,,4,70,4,
14,오프라인,3,,,2011,2,,,,,,1,,9,2,1981,8,3,0,35,,52,17,14,1,,,,,,,,,,,,,,,,,100,0,,,15,,,,,,3,,3,2,,4,1,,,,,,2,50,20,45,20,3,3,2,4,,1,3,2,,,,4,65,1,
15,오프라인,3,,,1991,1,,,,,,1,,12,1,1960,8,5,0,45,,52,16,17,,,,3,15,35,1,,1,,,,2,1,,,,100,0,100,0,10,10,,,,,1,,2,3,,3,1,,,,,,2,30,20,45,30,2,1,2,4,,3,3,2,,,,4,80,1,
16,오프라인,3,,,1989,1,,,,,,1,,1,1,1959,8,4,0,40,53,52,17,12,,,,3,15,35,1,,1,,,,2,1,,,,100,0,95,5,25,10,0,,0,,1,,2,3,,2,1,,,,,,3,20,10,30,10,3,3,2,"4,5",,1,2,2,,,,4,70,4,
17,오프라인,3,,,2000,2,,,,,,2,,4,1,1971,8,,,40,52,52,17,,,,,1,,40,1,,1,,,,2,1,,,,100,0,100,0,,,,55,,,1,,1,1,,4,1,,,,,,1,35,10,35,10,5,3,1,,,1,1,2,,,,4,70,4,
18,오프라인,3,,,2010,1,,,,,,2,,1,2,1977,근무안함,4,0,47,22,1,5,10,3,,,1,,40,1,,1,,,,2,1,,,,90,10,100,0,20,200,,,,,2,5,2,3,,4,1,,,,,,2,40,15,40,20,4,3,2,2,,1,1,2,,,,2,70,1,
19,오프라인,3,,,2008,2,,,,,,1,,2,1,1979,8,6,0,40,52,52,15,7,0,0,,3,20,35,1,,1,,,,2,1,,,,100,0,99.8,0.2,20,10,0,0,0,0,1,,1,1,,3,1,,,,,,2,35,10,40,20,4,3,2,"3,4",,1,3,2,,,,4,67,1,
20,오프라인,3,,,2011,1,,,,,,1,,2,1,1978,8,4.5,0,40,2,52,17,9,0,0,,3,10,40,1,,1,,,,2,1,,,,100,0,98,2,10,19,,,,,3,8,1,3,,3,1,,,,,,2,30,50,40,10,4,3,1,,,3,3,2,,,,4,70,4,
21,오프라인,3,,,2008,1,,,,,,1,,2,1,1979,8,5,0,48,0,52,17,,,,,3,30,30,1,,,,,,,,,,,100,0,90,10,40,,,,,,,,,,,,,,,,,,3,30,5,30,10,4,3,2,"3,4",,3,3,2,,,,4,60,4,
22,오프라인,3,,,2003,1,,,,,,1,,12,1,1972,8,2,,45,27,52,17,4,1,,,1,,45,1,,1,,,,2,1,,,,70,30,95,5,8,10,,,,,1,,2,1,,1,1,,,,,,2,35,15,25,15,5,3,2,4,,1,3,2,,,,4,70,2,
23,오프라인,3,,,2014,2,,,,,,4,,3,1,1980,8,,,40,,,15,,,,,1,,,1,,1,,,,2,2,10,2,1,100,0,100,0,15,4,1,35,,,1,,2,8,개원예정,1,1,,,,,,2,15,5,30,15,4,3,2,4,,1,3,2,,,,4,65,2,
24,오프라인,3,,,2016,1,,,,,,1,,1,1,1980,8,6,,49,0,52,15,2,0,0,,3,20,40,1,,1,,,,1,,,,,80,20,90,10,9,11,,,,,2,5,2,1,,3,1,,,,,,2,40,20,50,30,4,3,2,5,,1,1,2,,,,3,80,2,
25,오프라인,3,,,2017,1,,,,,,3,,8,1,1981,8,5,0,47,,52,17,2,,,,3,30,40,1,,1,,,,2,1,,,,100,0,98,2,,,,,,,2,2,1,1,,4,1,,,,,,3,30,15,30,30,4,3,1,,,1,3,2,,,,1,70,4,
26,오프라인,3,,,2019,1,,,,,,1,,1,1,1983,8.5,4,0,46,2,52,17,5,0,,,3,30,40,1,,1,,,,2,1,,,,98,5,98,5,15,11,,,,,1,,3,1,,3,1,,,,,,2,20,10,40,30,5,3,1,,,1,3,2,,,,3,70,2,
27,오프라인,3,,,2005,1,,,,,,5,,1,1,1971,8,3.5,,35.5,,52,17,7,,,,3,20,30,1,,1,,,,2,1,,,,100,0,100,0,50,9,,,,,1,,2,1,,1,1,,,,,,2,20,10,30,15,3,1,2,"4,5",,1,1,2,,,,4,70,1,
28,오프라인,3,,,1996,1,,,,,,1,,6,1,1960,9,4,,40,,,,,,,,3,20,30,1,,1,,,,2,1,,,,80,20,99,1,20,,,,,,1,,3,1,,2,1,,,,,,3,30,15,40,15,5,3,3,"3,5",,1,3,2,,,,3,75,4,
29,오프라인,3,,,2011,1,,,,,,6,,12,1,1981,8,3,,47,,52,17,0,1,,,3,15,32,1,,1,,,,2,1,,,,100,0,90,10,15,,,,,,2,7,3,3,,4,1,,,,,,2,40,20,40,20,4,3,2,"3,4,5",,2,3,2,,,,2,지속근무원함,2,
30,오프라인,3,,,2002,1,,,,,,1,,1,2,1971,8,6,0,29,,,,,,,,,,40,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,80,4,
31,오프라인,3,,,2015,1,,,,,,1,,2,1,1982,8,4,0,44,0,52,17,0,0,0,,3,20,36,1,,1,,,,1,1,,,,100,0,100,0,7,11,0,0,0,0,1,,1,2,,1,1,,,,,,2,35,15,40,20,5,3,1,,,1,3,2,,,,4,55,4,
32,오프라인,3,,,2015,1,,,,,,1,,11,1,1978,8,4,0,40,,52,17,7,,,,3,20,30,1,,1,,,,2,1,,,,80,20,100,0,25,10,,,,,1,,1,1,,1,1,,,,,,2,15,5,30,10,5,3,1,,,3,1,2,,,,4,60,4,
33,오프라인,3,,,2006,2,,,,,,2,,10,1,1969,8,,,40,,53,52,10,10,5,,1,,32,1,,2,1,7,3,2,1,,,,80,20,95,5,5,4,1,50,0,0,1,,1,3,,3,1,,,,,,1,20,10,40,20,4,3,1,,,1,1,2,,,,4,60,4,
34,오프라인,3,,,2002,1,,,,,,1,,12,1,1969,8,4,0,40,,52,17,,2,,,1,,40,1,,1,,,,1,1,,,,70,30,90,10,10,2,0,0,0,0,1,,2,1,,3,1,,,,,,2,30,20,30,20,4,3,1,,,2,2,1,4,3,50,4,65,2,
35,오프라인,3,,,2015,1,,,,,,1,,8,2,1985,8.5,4,0,38,,,,8,,,,1,,34,1,,1,,,,,1,,,,90,10,90,10,20,9,,,,,1,,3,3,,3,1,,,,,,2,20,10,30,15,5,3,1,,,1,3,2,,,,4,55,2,
36,오프라인,3,,,2004,1,,,,,,1,,11,1,1971,10,4,0,44,20,52,17,0,0,0,,3,30,30,1,,2,1,7,1,2,1,,,,90,10,80,20,30,10,0.5,15,0,0,1,,2,3,,2,1,,,,,,1,20,7,30,15,4,1,1,,,1,3,2,,,,4,65,4,
37,오프라인,3,,,2012,1,,,,,,1,,8,1,1982,8,4,,44,,,,,,,,3,10,35,1,,1,,,,2,,,,,90,10,95,5,5,9,,,,,1,,2,1,,4,1,,,,,,1,30,20,30,20,4,3,1,1,,1,1,2,,,,3,60,4,
38,오프라인,3,,,2011,1,,,,,,1,,5,1,1981,7,5,0,40,3,52,17,10,,,,3,80,30,1,,1,,,,2,1,,,,99,1,95,5,25,11,,,,,1,,2,3,,3,1,,,,,,3,20,10,30,10,5,3,2,"3,4",,1,3,2,,,,4,100,2,
39,오프라인,3,,,2009,2,,,,,,3,,3,1,1979,9,5,,42,12,52,17,4,,,,1,,40,1,,1,,,,2,1,,,,100,0,100,0,30,10,2,40,,,1,,2,1,,4,1,,,,,,1,15,5,20,10,4,3,1,,,1,1,2,,,,4,60,1,
40,오프라인,3,,,2016,1,,,,,,1,,8,1,1981,8,5,0,45,53,52,17,5,2,,,3,20,40,1,,1,,,,1,1,,,,90,10,95,5,10,11,,,,,1,,2,3,,2,1,,,,,,3,40,15,40,20,5,3,1,,,1,1,2,,,,4,70,4,
41,오프라인,3,,,2006,1,,,,,,1,,6,1,1974,7.7,5.5,0,44,2,52,17,13,,,,3,10,40,1,,1,,,,1,1,,,,98,2,99,1,30,10,0,0,0,0,3,13,2,3,,4,1,,,,,,3,30,8,30,10,4,3,2,"2,3,4,5",,1,1,2,,,,2,65,1,
42,오프라인,3,,,2014,1,,,,,,1,,1,1,1989,8.5,4.5,,46.5,20,40,13,8,0,,,1,,40,1,,1,,,,2,1,,,,100,0,90,10,20,5.5,1,50,,,1,,1,1,,3,1,,,,,,2,45,25,45,20,5,3,1,,,1,3,2,,,,4,70,2,
43,오프라인,3,,,2013,2,,,,,,1,,1,2,1981,3.5,0,0,21,,,,10,0,0,,3,20,14,1,,1,,,,2,1,,,,60,40,90,10,8,6,,14,,,2,3.5,2,1,,3,1,,,,,,2,50,30,40,20,4,3,2,4,,1,3,2,,,,4,70,2,
44,오프라인,3,,,2002,1,,,,,,1,,1,1,1968,40,4,,44,54,52,17,6,1,,,3,10,40,1,,1,,,,1,,,,,100,0,90,10,15,10,,,,,3,3,3,1,,4,1,,,,,,2,30,15,45,20,5,3,1,,,3,3,2,5,,,,75,4,
45,오프라인,3,,,2019,2,,,,,,1,,4,2,1983,9,0,0,24,0,48,12,,,,,3,20,18,1,,1,,,,2,1,,,,90,10,100,0,20,3,,,,,3,,2,2,,3,1,,,,,,2,60,30,60,50,4,3,1,,,1,3,2,,,,2,55,2,
46,오프라인,3,,,2019,4,,,,,,5,,1,1,1990,10,0,0,50,53,52,17,14,5,,,3,80,40,1,,1,,,,2,1,,,,10,90,100,0,10,1,,,,,1,,1,1,,4,1,,,,,,3,40,10,60,20,4,3,2,4,,1,3,1,2,5,100,1,65,1,
47,오프라인,3,,,2017,2,,,,,,8,정신병원 180bed,4,1,1986,6.5,,,33,26,52,10,7,,,,1,,,3,1,2,1,7,5,2,2,30,7,5,80,20,100,0,10,3,2,58,,,1,,1,1,,4,1,,,,,,1,40,10,60,20,5,3,2,"1,3",,1,1,2,,,,2,65,2,
48,오프라인,3,,,2018,2,,,,,,2,,8,2,1984,8,3,0,40,26,52,17,8,1,,,3,20,35,1,,1,,,,2,1,,,,90,10,100,0,15,11,1,35,0,0,1,,1,1,,3,1,,,,,,1,50,20,60,20,3,1,2,4,,3,1,2,,,,4,65,2,
49,오프라인,3,,,2011,1,,,,,,1,,1,2,1980,7,7,0,44.5,48,52,17,10,,,,3,20,35,1,,1,,,,1,1,,,,80,20,100,0,15,12,,,,,2,,2,1,,3,1,,,,,,3,40,10,40,15,4,3,2,"2,5",,1,3,2,5,,40,3,70,1,
50,오프라인,3,,,2000,2,,,,,,2,,15,1,1971,8,1,0,41,35,50,17,,,,,1,,40,2,0.5,2,1,2.5,1,2,1,,,,95,5,100,0,10,3,1,65,0,0,1,,2,2,,4,1,,,,,,1,20,5,30,10,4,3,2,"4,5",,1,1,2,,,,4,65,4,
51,오프라인,3,,,1992,1,,,,,,1,,2,1,1961,8,4,0,40,50,0,0,15,1,1,,3,20,35,1,,1,,,,2,1,,,,95,5,95,5,20,9,,,,,3,8,1,3,,1,1,,,,,,1,30,5,40,15,4,3,1,,,1,3,2,,,,4,75,1,
52,오프라인,3,,,2015,2,,,,,,1,,8,1,1981,8,4,0,40,53,52,13,17,10,,,1,,40,1,,1,,,,2,1,,,,100,0,90,10,10,10,,,,,2,20,2,1,,4,1,,,,,,2,40,20,40,20,5,3,1,,,1,1,2,,,,3,80,3,
53,오프라인,3,,,2014,2,,,,,,1,,8,2,1984,10,5,0,35,,52,17,,3,,,1,,40,1,,1,,,,2,1,,,,100,0,50,50,10,7,,,,,1,,2,1,,3,1,,,,,,1,40,5,40,10,4,3,1,,,1,1,2,,,,4,60,3,
54,오프라인,3,,,2010,2,,,,,,4,,4,1,1973,6,,,48,47,46,18,7,1,,,3,20,40,2,10,,,,,2,1,,,,50,50,100,0,15,2,2,57,0,0,1,,1,1,,4,1,,,,,,1,30,10,40,15,5,3,2,5,,1,3,2,,,,1,65,2,
55,오프라인,3,,,2009,1,,,,,,1,,1,1,1974,12,9,,45,,52,17,10,,,,1,,40,1,,1,,,,2,1,,,,85,15,100,0,20,7.5,,,,,1,,1,3,,4,1,,,,,,3,25,15,30,20,5,3,2,4,,1,3,2,,,,4,50,4,
56,오프라인,3,,,2009,1,,,,,,1,,1,1,1976,8,5,,40,0,0,0,7,0,0,,1,,40,1,,1,,,,2,1,,,,95,5,100,0,15,9,0,0,0,0,3,,3,1,,4,1,,,,,,1,40,15,40,20,4,3,2,"2,4",,1,3,2,,,,4,70,4,
57,오프라인,3,,,2019,2,,,,,,2,,8,2,1984,8,5,0,45,0,52,10,7,0,0,,3,20,35,1,,1,,,,2,2,40,6,3,90,10,100,0,15,5,3,50,0,0,,,2,1,,2,1,,,,,,2,40,5,50,20,5,3,2,"3,4",,1,3,2,,,,2,70,2,
58,오프라인,3,,,1999,1,,,,,,1,,9,1,1948,7,5,0,50,1,52,17,,,,,3,10,40,1,,1,,,,2,1,,,,90,70,98,2,40,200,0,0,0,0,2,10,2,3,,2,1,,,,,,1,30,10,40,20,4,3,4,"1,2,4",,1,2,2,,,,3,67,4,
59,오프라인,3,,,2014,1,,,,,,1,,16,1,1974,7.5,4,0,32,5,52,17,2,3,,,1,,40,1,,1,,,,2,1,,,,85,15,100,0,20,10,,,,,4,,2,1,,4,1,,,,,,2,40,20,40,30,3,1,1,"1,4",,1,2,2,,,,4,70,1,
60,오프라인,3,,,,1,,,,,,1,,4,2,1976,7,4.5,0,40,,,,15,7,,,3,20,40,1,,1,,,,2,1,,,,90,10,95,5,20,20,,,,,3,4,2,3,,3,1,,,,,,3,30,10,40,15,4,3,2,4,,1,3,2,,,,4,70,4,
61,오프라인,3,,,2017,6,,,,,,4,,13,1,1986,8,0,0,40,53,52,17,,,,,3,30,40,1,,1,,,,2,1,,,,50,50,100,0,20,2,1,20,0,0,1,,1,1,,3,1,,,,,,1,40,10,60,20,4,3,2,4,,2,3,2,,,,2,75,4,
62,오프라인,3,,,1985,1,,,,,,1,,12,1,1956,8,4,0,40,26,52,17,10,1,,,3,20,,,,,,,,,,,,,100,0,100,0,40,10,,15,,,1,,1,1,,3,1,,,,,,1,20,10,30,15,4,1,1,,,3,3,2,,,,4,75,4,
63,오프라인,3,,,2000,1,,,,,,1,,2,2,1969,8,5,0,43,51,52,17,3,,2,육아,3,20,35,,,,,,,,,,,,60,40,95,5,15,180,,,,,2,7,2,3,,2,1,,,,,,2,30,10,40,20,4,3,2,4,,1,1,2,,,,4,65,1,
64,오프라인,3,,,1998,1,,,,,,1,,2,1,1964,11,5,0,56,3,52,14,6,0,2,경조사,3,30,40,1,,1,,,,1,1,,,,90,10,95,5,45,11,,,,,2,10,2,3,,4,1,,,,,,3,20,5,30,10,4,3,1,4,,1,1,2,,,,4,70,"1,4",
65,오프라인,3,,,2016,2,,,,,,6,,8,1,1979,8,,,40,49,52,16,14,1,,,2,,36,1,,1,,,,2,1,,,,80,20,100,0,10,1,1,50,,,2,1,2,3,,4,1,,,,,,2,40,10,40,10,4,3,2,"4,5",,2,3,2,,,,2,70,2,
66,오프라인,3,,,2018,2,,,,,,2,,10,2,1981,8,,,25,25,24,7,2,,,,1,,40,1,,2,1,3,3,2,1,,,,90,10,90,10,40,3,2,57,,,3,20,3,5,,3,1,,,,,,3,30,10,30,10,4,3,2,4,,1,3,2,,,,2,60,3,
67,오프라인,3,,,2011,1,,,,,,1,,2,1,1974,8,4.5,0,40,40,52,17,15,2,,,1,,40,1,,1,,,,2,1,,,,100,0,90,10,10,3,0.2,50,,,2,4,2,1,,2,1,,,,,,1,40,10,40,10,5,3,2,"2,3,4",,1,1,2,,,,4,75,2,
68,오프라인,3,,,2015,2,,,,,,8,병원 100병상~500병상,4,1,1986,8,0,0,40,43,42,15,7,2,,,1,,40,1,,2,1,2,1,2,1,,,,80,20,100,0,3,3.5,0.5,60,,,1,,1,2,,4,2,,,,,,1,20,5,40,10,4,3,2,4,,1,1,2,,,,2,65,2,
69,오프라인,3,,,,1,,,,,,1,,1,1,1975,8,3.5,0,43.5,,52,17,,,,,3,20,36,1,,1,,,,2,1,,,,90,10,95,5,10,11,0,0,0,0,1,,2,1,,4,1,,,,,,3,20,10,40,20,4,3,2,4,,1,3,1,5,,50,4,60,1,
70,오프라인,3,,,1998,1,,,,,,1,,8,1,1967,9,7,4,44,0,52,2,2,0,0,,3,30,30,1,,1,,,,2,1,,,,90,10,95,5,30,10,,,,,1,,1,3,,1,1,,,,,,1,20,5,40,15,5,3,4,,,1,1,2,,,,4,70,4,
71,오프라인,3,,,2014,8,,,,,,8,정신병원,11,2,1983,8,,,40,,52,17,,,,,1,,35,2,10,1,,,,2,1,,,,90,10,100,0,15,2,5,55,0,0,1,,1,5,,4,1,,,,,,3,30,10,30,20,4,3,2,1,,3,3,2,,,,4,65,3,
72,오프라인,3,,,,2,,,,,,2,,4,1,1976,7.5,0,0,40,53,52,17,7,2,,,1,,30,2,0.5,2,1,1,0.5~1,2,1,,,,50,50,100,0,5,6,1.5,55,,,1,,2,1,,4,1,,,,,,1,0,5,20,5,4,3,1,"2,3,4",,1,3,2,,,,2,65,4,
73,오프라인,3,,,2003,1,,,,,,1,,1,2,1971,4,5,,41,4,52,18,8,3,,,1,,40,1,,1,,,,2,1,,,,80,20,97,3,10,9,,,,,4,,2,3,,4,1,,,,,,2,30,10,40,15,5,3,4,"3,4",,3,3,2,,,,4,65,2,
74,오프라인,3,,,2002,1,,,,,,1,,1,1,1968,9,4,,44,3,52,17,7,,,,3,10,40,1,,1,,,,1,1,,,,80,20,90,10,35,10,0,0,0,0,1,,2,3,,1,1,,,,,,3,25,5,40,10,3,1,2,"1,4",,3,1,2,,,,4,70,4,
75,오프라인,3,,,2012,2,,,,,,1,,1,2,1977,8,7,0,23.5,,,,,7,,,2,,25,1,,1,,,,2,1,,,,100,0,99,1,13,6,,,,,3,22.5,2,1,,4,1,,,,,,,30,15,40,20,3,1,2,"2,4",,1,3,2,,,,4,80,1,
76,오프라인,3,,,1983,1,,,,,,1,,8,1,1954,8.5,6,0,48.5,0,52,17,3,0,7,질병,3,30,35,1,,2,1,7,2,2,2,30,6,1,70,30,100,0,8,11,0.2,40,0,0,1,,3,3,,3,1,,,,,,3,20,5,30,10,4,1,2,3,,1,2,2,,,,4,70,4,
77,오프라인,3,,,1985,1,,,,,,5,,1,1,1956,9,7,,45,,52,17,53,,,,3,20,36,1,,1,,,,1,1,,,,100,0,90,10,30,10,,,,,1,,1,1,,2,1,,,,,,1,20,10,40,20,3,1,2,"2,3",,1,1,2,,,,4,70,4,
78,오프라인,3,,,2016,1,,,,,,1,,10,1,1981,8,4,,41,5,52,17,7,2,,,3,15,35,1,1,2,,,,2,,,,,90,10,90,10,20,9,,,,,3,4,2,3,,4,1,,,,,,3,15,10,30,20,4,3,2,"3,4,5",,1,1,2,,,,4,65,3,
79,오프라인,3,,,2013,2,,,,,,3,,10,2,1982,8,0,0,40,41,40,17,5,,,,1,,50,1,,2,1,1,0.5,2,1,,,,90,10,100,0,4,9,2,35,,,1,,2,2,,3,1,,,,,,2,40,10,40,15,4,3,2,"4,5",,1,1,2,,,,4,70,3,
80,오프라인,3,,,2009,2,,,,,,5,,14,1,1980,8,0,,40,13,52,1,14,1,,,1,,40,2,1,2,1,7,1,2,1,,,,70,30,95,5,10,2,1,60,0,0,1,,1,2,,4,1,,,,,,1,20,10,20,10,4,3,2,4,,1,3,2,,,,2,70,4,
81,오프라인,3,,,2006,1,,,,,,1,,13,1,1961,9,4,,50,45,52,17,,,,,1,0,49,1,,1,,,,2,1,,,,80,20,99,1,12,120,,,,,1,,1,1,,3,1,,,,,,1,30,20,40,20,4,3,2,"3,4",,1,1,2,,,,4,80,1,
82,오프라인,3,,,2017,2,,,,,,2,,1,2,1986,8,0,0,32,25,52,17,3,0,,,1,,32,1,,1,,,,2,1,,,,90,10,90,10,25,8,0,0,0,0,3,8,2,1,,4,1,,,,,,3,20,5,30,10,4,3,1,,,1,1,2,,,,4,50,1,
